metric,unix_ts,value
hbm_used_mib,1788782134.0,74382.0
hbm_used_mib,1788782135.0,74382.0
hbm_used_mib,1788782136.0,74382.0
hbm_used_mib,1788782137.0,74382.0
hbm_used_mib,1788782138.0,74382.0
hbm_used_mib,1788782139.0,74382.0
hbm_used_mib,1788782140.0,74382.0
hbm_used_mib,1788782141.0,74382.0
hbm_used_mib,1788782142.0,74382.0
hbm_used_mib,1788782143.0,74382.0
hbm_used_mib,1788782144.0,74382.0
hbm_used_mib,1788782145.0,74382.0
hbm_used_mib,1788782146.0,74382.0
hbm_used_mib,1788782147.0,74382.0
hbm_used_mib,1788782148.0,74382.0
hbm_used_mib,1788782149.0,74382.0
hbm_used_mib,1788782150.0,74382.0
hbm_used_mib,1788782151.0,74382.0
hbm_used_mib,1788782152.0,74382.0
hbm_used_mib,1788782153.0,74382.0
hbm_used_mib,1788782154.0,74382.0
hbm_used_mib,1788782155.0,74382.0
hbm_used_mib,1788782156.0,74382.0
hbm_used_mib,1788782157.0,74382.0
hbm_used_mib,1788782158.0,74382.0
hbm_used_mib,1788782159.0,74382.0
hbm_used_mib,1788782160.0,74382.0
hbm_used_mib,1788782161.0,74382.0
hbm_used_mib,1788782162.0,74382.0
hbm_used_mib,1788782163.0,74382.0
hbm_used_mib,1788782164.0,74382.0
hbm_used_mib,1788782165.0,74382.0
hbm_used_mib,1788782166.0,74382.0
hbm_used_mib,1788782167.0,74382.0
hbm_used_mib,1788782168.0,74382.0
hbm_used_mib,1788782169.0,74382.0
hbm_used_mib,1788782170.0,74382.0
hbm_used_mib,1788782171.0,74382.0
hbm_used_mib,1788782172.0,74382.0
hbm_used_mib,1788782173.0,74382.0
hbm_used_mib,1788782174.0,74382.0
hbm_used_mib,1788782175.0,74382.0
hbm_used_mib,1788782176.0,74382.0
hbm_used_mib,1788782177.0,74382.0
hbm_used_mib,1788782178.0,74382.0
hbm_used_mib,1788782179.0,74382.0
hbm_used_mib,1788782180.0,74382.0
hbm_used_mib,1788782181.0,74382.0
hbm_used_mib,1788782182.0,74382.0
hbm_used_mib,1788782183.0,74382.0
hbm_used_mib,1788782184.0,74382.0
hbm_used_mib,1788782185.0,74382.0
hbm_used_mib,1788782186.0,74382.0
hbm_used_mib,1788782187.0,74382.0
hbm_used_mib,1788782188.0,74382.0
hbm_used_mib,1788782189.0,74382.0
hbm_used_mib,1788782190.0,74382.0
hbm_used_mib,1788782191.0,74382.0
hbm_used_mib,1788782192.0,74382.0
hbm_used_mib,1788782193.0,74382.0
hbm_used_mib,1788782194.0,74382.0
hbm_used_mib,1788782195.0,74382.0
hbm_used_mib,1788782196.0,74382.0
hbm_used_mib,1788782197.0,74382.0
hbm_used_mib,1788782198.0,74382.0
hbm_used_mib,1788782199.0,74382.0
hbm_used_mib,1788782200.0,74382.0
hbm_used_mib,1788782201.0,74382.0
hbm_used_mib,1788782202.0,74382.0
hbm_used_mib,1788782203.0,74382.0
hbm_used_mib,1788782204.0,74382.0
hbm_used_mib,1788782205.0,74382.0
hbm_used_mib,1788782206.0,74382.0
hbm_used_mib,1788782207.0,74382.0
hbm_used_mib,1788782208.0,74382.0
hbm_used_mib,1788782209.0,74382.0
hbm_used_mib,1788782210.0,74382.0
hbm_used_mib,1788782211.0,74382.0
hbm_used_mib,1788782212.0,74382.0
hbm_used_mib,1788782213.0,74382.0
hbm_used_mib,1788782214.0,74382.0
hbm_used_mib,1788782215.0,74382.0
hbm_used_mib,1788782216.0,74382.0
hbm_used_mib,1788782217.0,74382.0
hbm_used_mib,1788782218.0,74382.0
hbm_used_mib,1788782219.0,74382.0
hbm_used_mib,1788782220.0,74382.0
