timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:29:09.767, 1 %, 533 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:11.768, 0 %, 559 MiB, 51, 110.18 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:13.770, 5 %, 559 MiB, 51, 132.60 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:15.771, 0 %, 539 MiB, 51, 110.40 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:17.772, 2 %, 539 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:19.773, 0 %, 559 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:21.774, 0 %, 535 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:23.775, 1 %, 535 MiB, 51, 110.40 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:25.778, 1 %, 535 MiB, 51, 110.58 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:27.779, 0 %, 555 MiB, 51, 109.02 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:29.781, 2 %, 539 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:31.782, 1 %, 563 MiB, 51, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:33.784, 1 %, 563 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:35.785, 1 %, 563 MiB, 51, 110.66 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:37.787, 0 %, 563 MiB, 51, 120.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:39.788, 2 %, 583 MiB, 51, 109.31 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:41.789, 2 %, 563 MiB, 51, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:43.792, 2 %, 563 MiB, 51, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:45.793, 4 %, 583 MiB, 51, 109.11 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:47.794, 1 %, 563 MiB, 51, 110.58 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:49.795, 0 %, 585 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:51.797, 0 %, 563 MiB, 51, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:53.798, 1 %, 563 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:55.800, 1 %, 563 MiB, 51, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:57.801, 2 %, 563 MiB, 52, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:29:59.802, 0 %, 583 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:01.804, 0 %, 563 MiB, 52, 109.48 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:03.806, 0 %, 563 MiB, 52, 110.67 W, 1410 MHz, 1512 MHz
