timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:48:04.205, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:04.210, 3, NVIDIA A100-SXM4-80GB, 28, 74.61 W, 705 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:06.215, 0, NVIDIA A100-SXM4-80GB, 45, 93.39 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:48:06.217, 1, NVIDIA A100-SXM4-80GB, 34, 88.41 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:48:06.219, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:06.224, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:08.226, 0, NVIDIA A100-SXM4-80GB, 45, 93.39 W, 1140 MHz, 1593 MHz, 916 MiB, 1 %
2026/09/10 08:48:08.226, 1, NVIDIA A100-SXM4-80GB, 34, 88.50 W, 1140 MHz, 1593 MHz, 898 MiB, 0 %
2026/09/10 08:48:08.226, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:08.226, 3, NVIDIA A100-SXM4-80GB, 28, 66.50 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:10.227, 0, NVIDIA A100-SXM4-80GB, 45, 93.39 W, 1140 MHz, 1593 MHz, 1748 MiB, 4 %
2026/09/10 08:48:10.227, 1, NVIDIA A100-SXM4-80GB, 35, 127.53 W, 1410 MHz, 1593 MHz, 1748 MiB, 80 %
2026/09/10 08:48:10.227, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:10.227, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:12.227, 0, NVIDIA A100-SXM4-80GB, 45, 93.39 W, 1140 MHz, 1593 MHz, 780 MiB, 0 %
2026/09/10 08:48:12.231, 1, NVIDIA A100-SXM4-80GB, 34, 88.23 W, 1140 MHz, 1593 MHz, 780 MiB, 0 %
2026/09/10 08:48:12.238, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:12.243, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:14.249, 0, NVIDIA A100-SXM4-80GB, 44, 93.11 W, 1140 MHz, 1593 MHz, 0 MiB, 0 %
