configured_lambda_req_s,realized_lambda_req_s,request_id,workload_category,ttft_ms,mean_content_event_itl_ms,e2e_ms,output_tokens,ttft_slo_pass,itl_slo_pass,overall_slo_pass
0.6,0.5182815333905132,req_0240,short_interactive,25.258752997615375,8.145933663873627,994.9072750023333,119,1,1,1
0.6,0.5182815333905132,req_0996,long_output,29.261715004395228,8.1247709740611,5668.076465000922,694,1,1,1
0.6,0.5182815333905132,req_0574,coding_request,31.760505997226574,8.232733592392279,1546.8406820000382,184,1,1,1
0.6,0.5182815333905132,req_0179,short_interactive,28.096270994865336,8.175050500063836,715.0973190000514,84,1,1,1
0.6,0.5182815333905132,req_0367,knowledge_qa,22.147150004457217,8.045395062405683,408.6122780063306,48,1,1,1
0.6,0.5182815333905132,req_0502,coding_request,14.323461000458337,8.728789904137356,2746.721436997177,313,1,1,1
0.6,0.5182815333905132,req_0616,coding_request,26.34578700235579,9.155861566398471,4714.376302996243,512,1,1,1
0.6,0.5182815333905132,req_0840,long_context_qa,214.91971499926876,8.246338531307629,479.0178420007578,32,1,1,1
0.6,0.5182815333905132,req_0835,long_context_qa,253.9332189990091,17.78190761130342,574.2816010024399,18,1,0,0
0.6,0.5182815333905132,req_0886,long_context_qa,432.9558149984223,8.029406214648459,545.5845070027863,14,0,1,0
0.6,0.5182815333905132,req_0040,short_interactive,30.688392995216418,10.259460209869568,861.9374139962019,81,1,1,1
0.6,0.5182815333905132,req_0657,document_qa,157.30517199699534,7.915320555588955,300.03192699950887,18,1,1,1
0.6,0.5182815333905132,req_0041,short_interactive,33.47308099910151,8.48664841603022,1094.6315600012895,125,1,1,1
0.6,0.5182815333905132,req_0192,short_interactive,21.527277000132017,7.800895773442562,2018.7682190007763,256,1,1,1
0.6,0.5182815333905132,req_0586,coding_request,14.197988995874766,7.770785065756541,2260.219698000583,289,1,1,1
0.6,0.5182815333905132,req_0166,short_interactive,27.313347003655508,7.752601231814796,1733.1173929997021,220,1,1,1
0.6,0.5182815333905132,req_0113,short_interactive,26.49887800362194,8.105038253887642,2101.6433170007076,256,1,1,1
0.6,0.5182815333905132,req_0178,short_interactive,13.001113999052905,7.691793705881162,667.0346640021307,85,1,1,1
0.6,0.5182815333905132,req_0818,long_context_qa,415.8199869998498,7.644362333545966,599.5022380011505,24,0,1,0
0.6,0.5182815333905132,req_0148,short_interactive,121.68838900106493,9.318642283497907,746.2590369977988,67,1,1,1
0.6,0.5182815333905132,req_0508,coding_request,121.04216400621226,8.313926564217038,1609.4630640000105,179,1,1,1
0.6,0.5182815333905132,req_0007,short_interactive,14.01735500257928,7.621205531827303,372.46174000028986,47,1,1,1
0.6,0.5182815333905132,req_0698,document_qa,80.84392599994317,7.8743568103226576,537.8597469971282,58,1,1,1
0.6,0.5182815333905132,req_0064,short_interactive,22.65795200219145,7.771155400041607,333.7915840020287,40,1,1,1
0.6,0.5182815333905132,req_0084,short_interactive,114.97118099941872,8.419682578564139,1293.9682169962907,140,1,1,1
0.6,0.5182815333905132,req_0534,coding_request,121.97971299610799,8.691678030631579,2677.6219099992886,294,1,1,1
0.6,0.5182815333905132,req_0918,long_output,21.620699000777677,8.140528649779004,7250.619874001131,888,1,1,1
0.6,0.5182815333905132,req_0466,knowledge_qa,24.11738099908689,7.541108176690828,152.66192799754208,17,1,1,1
0.6,0.5182815333905132,req_0310,knowledge_qa,26.50394899683306,8.145077041113488,621.3230180001119,73,1,1,1
0.6,0.5182815333905132,req_0457,knowledge_qa,19.7197510060505,8.243241770579608,918.6357430007774,109,1,1,1
0.6,0.5182815333905132,req_0984,long_output,27.803467004559934,8.184782058214193,6354.890123002406,773,1,1,1
0.6,0.5182815333905132,req_0938,long_output,28.776724000636023,8.27048694511776,4850.690627004951,583,1,1,1
0.6,0.5182815333905132,req_0371,knowledge_qa,23.106560001906473,8.175058537071218,464.811436002492,54,1,1,1
0.6,0.5182815333905132,req_0422,knowledge_qa,23.15876099601155,8.168353558871518,578.9724999995087,68,1,1,1
0.6,0.5182815333905132,req_0131,short_interactive,213.34488400316332,7.721525315041431,777.2365960045136,73,1,1,1
0.6,0.5182815333905132,req_0531,coding_request,13.651127999764867,7.7603527021137975,1472.8247599996394,188,1,1,1
0.6,0.5182815333905132,req_0864,long_context_qa,221.025822997035,7.895136151005918,639.7060339950258,53,1,1,1
0.6,0.5182815333905132,req_0650,coding_request,170.35860099713318,8.837724348790244,4174.150487000588,453,1,1,1
0.6,0.5182815333905132,req_0444,knowledge_qa,161.17454399500275,9.184558683552462,887.0597360000829,79,1,1,1
0.6,0.5182815333905132,req_0931,long_output,28.18969600048149,8.363810328728755,6083.820217994798,724,1,1,1
0.6,0.5182815333905132,req_0793,document_qa,128.46082800388103,8.197131575743146,399.24720500130206,33,1,1,1
0.6,0.5182815333905132,req_0926,long_output,28.62851300596958,8.744295857143568,1008.2529640058056,112,1,1,1
0.6,0.5182815333905132,req_0674,document_qa,80.2488839981379,8.11085445820936,275.17489599995315,24,1,1,1
0.6,0.5182815333905132,req_0173,short_interactive,23.023890003969427,6.212001249878085,48.220623000815976,4,1,1,1
0.6,0.5182815333905132,req_0578,coding_request,31.55911199428374,8.757300245501524,995.088052994106,110,1,1,1
0.6,0.5182815333905132,req_0524,coding_request,46.02628599968739,8.770535764701151,2580.925116002618,289,1,1,1
0.6,0.5182815333905132,req_0743,document_qa,103.15730099682696,8.06017528572868,667.589484997734,70,1,1,1
0.8,0.6910420445206844,req_0675,document_qa,71.35321299574571,7.708749622300577,418.4408099972643,45,1,1,1
0.8,0.6910420445206844,req_0968,long_output,15.95919600367779,8.291558666660833,4767.2603169994545,573,1,1,1
