op,rows,width,dtype,backend,phase,blocks,median_p50_us,median_p95_us,median_p50_ci_low_us,median_p50_ci_high_us,max_abs_error,peak_allocated_bytes,speedup_vs_eager_or_unfused,speedup_vs_compile_or_dense
rms,8,5120,torch.bfloat16,liger,forward_backward,5,14.872000366449356,15.003840252757072,14.854399859905243,14.891199767589569,0.0,2406912,4.588380631476769,0.9905325226201415
rms,8,5120,torch.bfloat16,tilelang,forward,5,2.7583999559283257,2.875359980389476,2.7535999193787575,2.77280006557703,0.0,82432,10.204756592372217,2.046403796273994
rms,8,5120,torch.bfloat16,tilelang,forward_backward,5,9.577599912881851,9.695200063288212,9.566399827599525,9.590400010347366,0.0,174592,7.12479108058702,1.538088892142312
rms,8,5120,torch.bfloat16,triton,forward,5,2.627200074493885,2.736319974064827,2.6064000092446804,2.630399912595749,0.0,82432,10.714372463650877,2.148599262102709
rms,8,5120,torch.bfloat16,triton,forward_backward,5,8.564799651503563,8.708319924771786,8.560000360012054,8.609599992632866,0.0,174592,7.967308192755248,1.7199701848017737
rms,8,5120,torch.float16,compile,forward,5,5.423999950289726,5.681760050356388,5.419199913740158,5.443200096487999,0.000244140625,82432,5.095870250555308,1.0
rms,8,5120,torch.float16,compile,forward_backward,5,14.588800072669983,14.7502401471138,14.564800262451172,14.604799449443817,0.000244140625,174592,4.608137704182617,1.0
rms,8,5120,torch.float16,eager,forward,5,27.639999985694885,28.18719908595085,27.60159969329834,27.665600180625916,0.0,758272,1.0,0.19623733549554717
rms,8,5120,torch.float16,eager,forward_backward,5,67.22719967365265,67.43135929107666,67.17599928379059,67.33759939670563,0.0,1106432,1.0,0.21700740390035245
rms,8,5120,torch.float16,liger,forward,5,2.72000003606081,2.86640003323555,2.7103999629616737,2.7343999594449997,0.0,82432,10.161764565901994,1.9941176023456728
rms,8,5120,torch.float16,liger,forward_backward,5,14.724799990653992,15.009600222110748,14.70239982008934,14.740800112485886,0.0,2406912,4.565576423199131,0.9907638869071003
rms,8,5120,torch.float16,tilelang,forward,5,2.7583999559283257,2.940319934859872,2.7424000203609467,2.759999968111515,0.00048828125,82432,10.02030177904088,1.9663573219802732
