unix_ts,elapsed_s,utc_time,running_requests,waiting_requests,waiting_capacity,waiting_deferred,kv_cache_usage,preemptions_total,gpu_util_pct,fb_used_mb,power_w,gpu_temp_c,engine_up,dcgm_up
1788785873,135,2026-09-07 12:57:53+00:00,64.0,0.0,0.0,0.0,0.014379027386226317,0.0,100.0,74382.0,297.681,69.0,1.0,1.0
1788785874,136,2026-09-07 12:57:54+00:00,56.0,8.0,8.0,0.0,0.012075865888038662,0.0,100.0,74382.0,302.487,70.0,1.0,1.0
1788785875,137,2026-09-07 12:57:55+00:00,33.0,24.0,24.0,0.0,0.007098268223922677,0.0,100.0,74382.0,284.588,70.0,1.0,1.0
1788785876,138,2026-09-07 12:57:56+00:00,15.0,3.0,3.0,0.0,0.0035743052758759886,0.0,98.0,74382.0,298.844,70.0,1.0,1.0
1788785877,139,2026-09-07 12:57:57+00:00,64.0,0.0,0.0,0.0,0.016078080950463147,0.0,100.0,74382.0,306.612,69.0,1.0,1.0
1788785878,140,2026-09-07 12:57:58+00:00,64.0,0.0,0.0,0.0,0.014945378574305224,0.0,100.0,74382.0,300.717,69.0,1.0,1.0
1788785879,141,2026-09-07 12:57:59+00:00,64.0,0.0,0.0,0.0,0.013907068062827266,0.0,100.0,74382.0,292.235,69.0,1.0,1.0
1788785880,142,2026-09-07 12:58:00+00:00,43.0,21.0,21.0,0.0,0.009382551349174428,0.0,100.0,74382.0,279.992,70.0,1.0,1.0
1788785881,143,2026-09-07 12:58:01+00:00,31.0,25.0,25.0,0.0,0.007110853805879946,0.0,96.0,74382.0,297.469,70.0,1.0,1.0
1788785882,144,2026-09-07 12:58:02+00:00,64.0,0.0,0.0,0.0,0.016789166331051097,0.0,100.0,74382.0,311.964,70.0,1.0,1.0
1788785883,145,2026-09-07 12:58:03+00:00,64.0,0.0,0.0,0.0,0.01565017116391465,0.0,100.0,74382.0,299.526,69.0,1.0,1.0
1788785884,146,2026-09-07 12:58:04+00:00,64.0,0.0,0.0,0.0,0.014429369714055618,0.0,100.0,74382.0,298.061,69.0,1.0,1.0
1788785885,147,2026-09-07 12:58:05+00:00,53.0,11.0,11.0,0.0,0.011421415626258535,0.0,100.0,74382.0,244.217,69.0,1.0,1.0
1788785886,148,2026-09-07 12:58:06+00:00,27.0,37.0,37.0,0.0,0.005751610954490505,0.0,100.0,74382.0,280.999,70.0,1.0,1.0
1788785887,149,2026-09-07 12:58:07+00:00,27.0,0.0,0.0,0.0,0.0071674889246878815,0.0,98.0,74382.0,299.724,71.0,1.0,1.0
1788785888,150,2026-09-07 12:58:08+00:00,64.0,0.0,0.0,0.0,0.015989981876761927,0.0,100.0,74382.0,297.971,70.0,1.0,1.0
1788785889,151,2026-09-07 12:58:09+00:00,64.0,0.0,0.0,0.0,0.014832108336689465,0.0,100.0,74382.0,300.719,70.0,1.0,1.0
1788785890,152,2026-09-07 12:58:10+00:00,60.0,4.0,4.0,0.0,0.013208568264196585,0.0,100.0,74382.0,257.699,70.0,1.0,1.0
1788785891,153,2026-09-07 12:58:11+00:00,36.0,28.0,28.0,0.0,0.007759011276681438,0.0,100.0,74382.0,291.519,71.0,1.0,1.0
1788785892,154,2026-09-07 12:58:12+00:00,19.0,9.0,9.0,0.0,0.004392368103101063,0.0,96.0,74382.0,303.569,71.0,1.0,1.0
